"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"RearRight"|""|0.0|5.0|50,"RearLeft"|""|0.0|5.0|50,"FrontLeft"|""|0.0|5.0|50,"FrontRight"|""|0.0|5.0|50,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|"RPM"|0|12500|50,"TPS"|"%"|0.0|100.0|50,"InjectorPW"|"ms"|0.0|100.0|25,"Baro"|"kPa"|0|105|1,"MAP"|"kPa"|0|255|25,"AFR"|"ratio"|0.0|20.0|25,"IAT"|"C"|-20|205|25,"EngineTemp"|"C"|0|200|1,"OilPressure"|"psi"|0.0|200.0|50,"OilTemp"|"F"|0|300|1,"FuelTemp"|"C"|0|1024|1,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
144443,1529697964497,1.27,1.35,1.25,1.2,,,,,,,,3844,2.6,,,,,,,42.05,,,,,,,,,,,,,,,,,
144463,1529697964507,1.27,1.35,1.25,1.2,,0.01,0.0,-1.14,-0,-0,1,3844,2.6,3.61,,68,22.01,33,,40.3,,,40.845962,-96.770599,0.0,0.002,1192.7,8,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
144483,1529697964527,1.28,1.36,1.24,1.21,,,,,,,,3727,2.4,,,,,,,40.3,,,,,,,,,,,,,,,,,
144503,1529697964547,1.28,1.36,1.25,1.2,,0.03,0.01,-1.06,-0,-0,1,3727,2.4,3.62,,68,22.01,33,,40.3,,,,,,,,,,,,,,,,,
144523,1529697964567,1.28,1.36,1.25,1.2,,,,,,,,3727,2.4,,,,,,,40.3,,,,,,,,,,,,,,,,,
144543,1529697964591,1.27,1.36,1.25,1.21,,0.03,-0.03,-0.98,-0,-0,1,3553,2.5,3.62,,68,22.01,33,,40.3,,,,,,,,,,,,,,,,,
144563,1529697964611,1.28,1.36,1.25,1.2,,,,,,,,3553,2.5,,,,,,,35.7,,,40.845962,-96.770599,0.0,0.002,1192.7,8,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
144583,1529697964631,1.28,1.36,1.25,1.21,,-0.01,-0.03,-1.03,-0,-0,1,3412,2.6,3.6,,68,22.01,33,,35.7,,,,,,,,,,,,,,,,,
144603,1529697964651,1.28,1.37,1.26,1.21,,,,,,,,3412,2.6,,,,,,,35.7,,,,,,,,,,,,,,,,,
144623,1529697964671,1.28,1.36,1.25,1.21,,0.06,0.01,-1.07,-0,-0,1,3412,2.6,3.6,,68,22.01,32,,35.7,,,,,,,,,,,,,,,,,
144643,1529697964691,1.28,1.37,1.25,1.21,,,,,,,,3400,2.7,,,,,,,35.7,,,,,,,,,,,,,,,,,
144663,1529697964703,1.28,1.36,1.26,1.21,,-0.0,-0.05,-1.16,-0,-0,1,3400,2.7,3.56,,67,22.01,32,,35.22,,,40.845962,-96.770599,0.0,0.002,1192.7,8,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
144683,1529697964723,1.28,1.37,1.25,1.21,,,,,,,,3346,2.7,,,,,,,35.22,,,,,,,,,,,,,,,,,
144703,1529697964743,1.29,1.37,1.25,1.21,,0.04,-0.01,-1.05,-0,0,0,3346,2.7,3.55,,68,22.01,32,,35.22,,,,,,,,,,,,,,,,,
144723,1529697964763,1.28,1.37,1.26,1.21,,,,,,,,3346,2.7,,,,,,,35.22,,,,,,,,,,,,,,,,,
144743,1529697964783,1.29,1.37,1.26,1.22,,0.02,0.04,-1.16,-0,-0,0,3271,2.7,3.6,,69,22.01,32,,35.22,,,,,,,,,,,,,,,,,
144763,1529697964807,1.29,1.37,1.26,1.22,,,,,,,,3271,2.7,,,,,,,31.05,,,40.845962,-96.770599,0.0,0.002,1192.7,8,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
144783,1529697964827,1.28,1.37,1.26,1.22,,-0.03,-0.06,-1.26,-0,-1,0,3007,2.7,3.75,,69,22.01,32,,31.05,,,,,,,,,,,,,,,,,
144803,1529697964847,1.27,1.37,1.27,1.22,,,,,,,,3007,2.7,,,,,,,31.05,,,,,,,,,,,,,,,,,
144823,1529697964867,1.29,1.38,1.26,1.22,,-0.07,-0.12,-1.29,-0,-1,0,3007,2.7,3.75,,72,22.01,32,,31.05,,,,,,,,,,,,,,,,,
144843,1529697964897,1.29,1.38,1.26,1.22,,,,,,,,2777,2.6,,,,,,,31.05,,,,,,,,,,,,,,,,,
144863,1529697964917,1.29,1.38,1.27,1.22,,-0.04,-0.1,-1.21,-0,-0,0,2777,2.6,4.1,,75,22.01,32,,24.78,,,40.845962,-96.770599,0.0,0.002,1192.7,8,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
144883,1529697964937,1.29,1.38,1.26,1.22,,,,,,,,2548,2.7,,,,,,,24.78,,,,,,,,,,,,,,,,,
