"Interval|""ms""|0|0|1","Utc|""ms""|0|0|1","Latitude|""Degrees""|-180.0|180.0|10","Longitude|""Degrees""|-180.0|180.0|10","Speed|""mph""|0.0|150.0|10"
12649,1.52977E+12,40.847313,-96.767212,0
12669,1.52977E+12,,,
12689,1.52977E+12,,,
12709,1.52977E+12,,,
12729,1.52977E+12,,,
12749,1.52977E+12,40.847313,-96.767212,0
12769,1.52977E+12,,,
12789,1.52977E+12,,,
12809,1.52977E+12,,,
12829,1.52977E+12,,,
12849,1.52977E+12,40.847263,-96.76722,0
12869,1.52977E+12,,,
12889,1.52977E+12,,,
12909,1.52977E+12,,,
12929,1.52977E+12,,,
12949,1.52977E+12,40.847233,-96.767227,68.07
12969,1.52977E+12,,,
12989,1.52977E+12,,,
13009,1.52977E+12,,,
13029,1.52977E+12,,,
13049,1.52977E+12,40.847012,-96.767273,80.56
13069,1.52977E+12,,,
13089,1.52977E+12,,,
13109,1.52977E+12,,,
13129,1.52977E+12,,,
13149,1.52977E+12,40.846874,-96.767296,70.96
13169,1.52977E+12,,,
13189,1.52977E+12,,,
13209,1.52977E+12,,,
13229,1.52977E+12,,,
13249,1.52977E+12,40.846783,-96.767311,59.52
13269,1.52977E+12,,,
13289,1.52977E+12,,,
13309,1.52977E+12,,,
13329,1.52977E+12,,,
13349,1.52977E+12,40.846725,-96.767326,50.49
13369,1.52977E+12,,,
13389,1.52977E+12,,,
13409,1.52977E+12,,,
13429,1.52977E+12,,,
13449,1.52977E+12,40.846725,-96.767326,43.79
13469,1.52977E+12,,,
13489,1.52977E+12,,,
13509,1.52977E+12,,,
13529,1.52977E+12,,,
13549,1.52977E+12,40.846684,-96.767334,38.44
13569,1.52977E+12,,,
13589,1.52977E+12,,,
13609,1.52977E+12,,,
13629,1.52977E+12,,,
13649,1.52977E+12,40.846684,-96.767334,33.96
13669,1.52977E+12,,,
13689,1.52977E+12,,,
13709,1.52977E+12,,,
13729,1.52977E+12,,,
13749,1.52977E+12,40.846684,-96.767334,30.57
13769,1.52977E+12,,,
13789,1.52977E+12,,,
13809,1.52977E+12,,,
13829,1.52977E+12,,,
13849,1.52977E+12,40.846684,-96.767334,27.51
13869,1.52977E+12,,,
13889,1.52977E+12,,,
13909,1.52977E+12,,,
13929,1.52977E+12,,,
13949,1.52977E+12,40.846684,-96.767334,24.85
13969,1.52977E+12,,,
13989,1.52977E+12,,,
14009,1.52977E+12,,,
14029,1.52977E+12,,,
14049,1.52977E+12,40.846664,-96.767342,22.51
14069,1.52977E+12,,,
14089,1.52977E+12,,,
14109,1.52977E+12,,,
14129,1.52977E+12,,,
14149,1.52977E+12,40.846642,-96.767342,20.61
14169,1.52977E+12,,,
14189,1.52977E+12,,,
14209,1.52977E+12,,,
14229,1.52977E+12,,,
14249,1.52977E+12,40.846626,-96.767349,18.82
14269,1.52977E+12,,,
14289,1.52977E+12,,,
14309,1.52977E+12,,,
14329,1.52977E+12,,,
14349,1.52977E+12,40.846611,-96.767349,16.45
14369,1.52977E+12,,,
14389,1.52977E+12,,,
14409,1.52977E+12,,,
14429,1.52977E+12,,,
14449,1.52977E+12,40.8466,-96.767357,14.59
14469,1.52977E+12,,,
14489,1.52977E+12,,,
14509,1.52977E+12,,,
14529,1.52977E+12,,,
14549,1.52977E+12,40.846584,-96.767357,12.86
14569,1.52977E+12,,,
14589,1.52977E+12,,,
14609,1.52977E+12,,,
14629,1.52977E+12,,,
14649,1.52977E+12,40.846577,-96.767364,11.39
14669,1.52977E+12,,,
14689,1.52977E+12,,,
14709,1.52977E+12,,,
14729,1.52977E+12,,,
14749,1.52977E+12,40.846569,-96.767364,10.59
14769,1.52977E+12,,,
14789,1.52977E+12,,,
14809,1.52977E+12,,,
14829,1.52977E+12,,,
14849,1.52977E+12,40.846565,-96.767364,9.21
14869,1.52977E+12,,,
14889,1.52977E+12,,,
14909,1.52977E+12,,,
14929,1.52977E+12,,,
14949,1.52977E+12,40.846558,-96.767364,8.59
14969,1.52977E+12,,,
14989,1.52977E+12,,,
15009,1.52977E+12,,,
15029,1.52977E+12,,,
15049,1.52977E+12,40.846558,-96.767364,7.48
15069,1.52977E+12,,,
15089,1.52977E+12,,,
15109,1.52977E+12,,,
15129,1.52977E+12,,,
15149,1.52977E+12,40.846558,-96.767364,7.06
15169,1.52977E+12,,,
15189,1.52977E+12,,,
15209,1.52977E+12,,,
15229,1.52977E+12,,,
15249,1.52977E+12,40.846558,-96.767364,6.42
15269,1.52977E+12,,,
15289,1.52977E+12,,,
15309,1.52977E+12,,,
15329,1.52977E+12,,,
15349,1.52977E+12,40.846558,-96.767364,5.84
15369,1.52977E+12,,,
15389,1.52977E+12,,,
15409,1.52977E+12,,,
15429,1.52977E+12,,,
15449,1.52977E+12,40.846558,-96.767364,5.31
15469,1.52977E+12,,,
15489,1.52977E+12,,,
15509,1.52977E+12,,,
15529,1.52977E+12,,,
15549,1.52977E+12,40.846558,-96.767364,4.84
15569,1.52977E+12,,,
15589,1.52977E+12,,,
15609,1.52977E+12,,,
15629,1.52977E+12,,,
15649,1.52977E+12,40.846558,-96.767364,4.42
15669,1.52977E+12,,,
15689,1.52977E+12,,,
15709,1.52977E+12,,,
15729,1.52977E+12,,,
15749,1.52977E+12,40.846558,-96.767364,3.97
15769,1.52977E+12,,,
15789,1.52977E+12,,,
15809,1.52977E+12,,,
