"Interval|""ms""|0|0|1","EngineTemp|""C""|0|200|1"
144443,1
144463,2
144483,3
144503,
144523,
144543,
144563,
144583,
144603,
144623,
144643,
144663,
144683,
144703,
144723,
144743,
144763,
144783,
144803,
144823,
144843,
144863,
144883,
144903,
144923,
144943,
144963,
144983,
145003,
145023,
145043,
145063,82
145083,
145103,
145123,
145143,
145163,
145183,
145203,
145223,
145243,
145263,
145283,
145303,
145323,
145343,
145363,
145383,
145403,
145423,
145443,
145463,
145483,
145503,
145523,
145543,
145563,
145583,
145603,
145623,
145643,
145663,
145683,
145703,
145723,
145743,
145763,
145783,
145803,
145823,
145843,
145863,
145883,
145903,
145923,
145943,
145963,
145983,
146003,
146023,
146043,
146063,82
146083,
146103,
146123,
146143,
146163,
146183,
146203,
146223,
146243,
146263,
146283,
146303,
146323,
146343,
146363,
146383,
146403,
146423,
146443,
146463,
146483,
146503,
146523,
146543,
146563,
146583,
146603,
146623,
146643,
146663,
146683,
146703,
146723,
146743,
146763,
146783,
146803,
146823,
146843,
146863,
146883,
146903,
146923,
146943,
146963,
146983,
147003,
147023,
147043,
147063,82
147083,
147103,
147123,
147143,
147163,
147183,
147203,
147223,
147243,
147263,
147283,
147303,
147323,
147343,
147363,
147383,
147403,
147423,
147443,
147463,
147483,
147503,
147523,
147543,
147563,
147583,
147603,
147623,
147643,
147663,
147683,
147703,
147723,
147743,
147763,
147783,
147803,
147823,
147843,
147863,
147883,
147903,
147923,
147943,
147963,
147983,
148003,
148023,
148043,
148063,83
148083,
148103,
148123,
148143,
148163,
148183,
148203,
148223,
148243,
148263,
148283,
148303,
148323,
148343,
148363,
148383,
148403,
148423,
148443,
148463,
148483,
148503,
148523,
148543,
148563,
148583,
148603,
148623,
148643,
148663,
148683,
148703,
148723,
148743,
148763,
148783,
148803,
148823,
148843,
148863,
148883,
148903,
148923,
148943,
148963,
148983,
149003,
149023,
149043,
149063,83
149083,
149103,
149123,
149143,
149163,
149183,
149203,
149223,
149243,
149263,
149283,
149303,
149323,
149343,
149363,
149383,
149403,
149423,
149443,
149463,
149483,
149503,
149523,
149543,
149563,
149583,
149603,
149623,
149643,
149663,
149683,
149703,
149723,
149743,
149763,
149783,
149803,
149823,
149843,
149863,
149883,
149903,
